Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2025-03-03,114.04158782958984,123.68003128569312,112.26187634904674,123.49006713958599,411381400
2025-03-04,115.97127532958984,119.29073912641502,110.09222719636827,110.63214094760745,398163300
2025-03-05,117.28106689453125,118.26090441787001,114.49151637878758,117.56102047262804,284337900
2025-03-06,110.55215454101562,115.33138186500223,110.20221255397621,113.51167590423404,321181900
2025-03-07,112.67181396484375,113.46168737204893,107.54263707893918,111.232043943795,341755500
2025-03-10,106.96273040771484,111.83193921740828,105.44297155454524,109.88225711490554,366487400
2025-03-11,108.74244689941406,112.2218809117277,104.75308544348755,106.97272832797886,354865700
2025-03-12,115.73196411132812,116.75189758318456,112.87216201952944,114.1120814413496,323857500
2025-03-13,115.57197570800781,117.75182462929007,113.7820990939805,117.02187196535417,299033100
2025-03-14,121.66155242919922,121.87153693655638,118.1418001271865,118.6017672807591,277593500
2025-03-17,119.52169799804688,122.88146527258023,118.02180216580395,122.73147416358299,255501500
2025-03-18,115.42198181152344,119.01172876569431,114.53204424682897,117.99180297800854,299686900
2025-03-19,117.51183319091797,120.44162996547794,115.67196466720779,117.26185055700965,273426200
2025-03-20,118.52176666259766,120.19164884723557,116.46191217445423,116.54190844924116,248829700
2025-03-21,117.69182586669922,117.98180664950618,115.41198537165405,116.93188412092742,266498500
2025-03-24,121.40157318115234,122.21151449504808,119.33170959432591,119.87167301321132,228452500
2025-03-25,120.68162536621094,121.28158219452679,118.9117439494844,120.5416356938994,167447200
2025-03-26,113.75210571289062,118.83174729689935,112.70217554499752,118.72176195088541,293463300
2025-03-27,111.4222640991211,114.4420510740887,110.6523209143036,111.34226782232153,236902100
2025-03-28,109.66238403320312,112.86216644188174,109.06242721559616,111.48225736963437,229872500
2025-03-31,108.37247467041016,110.95229742526604,103.642807248706,105.12270025073305,299212700
2025-04-01,110.14234924316406,110.19234119227177,106.46260459302538,108.51245759918966,222614000
2025-04-02,110.4123306274414,111.97222748899677,106.78258544027105,107.28255072037597,220601200
2025-04-03,101.79293060302734,105.62265871984647,101.59293992049946,103.50281088710224,338769400
2025-04-04,94.30345153808594,100.12304726897904,92.10360729078229,98.90313835695446,532273800
2025-04-07,97.63321685791016,101.7429319683666,86.61398571543218,87.45392370324234,611041300
2025-04-08,96.29331970214844,105.84265234199715,94.45344343361101,103.80279300527448,476243400
